date,srcip,dstip,srcport,dstport,time,pkt_len,tos,id,flag,ttl,chksum
2015-05-21 13:01:00,904355378,568954343,80,42828,1432213260001116,1500,8,11691,2,50,53631
2015-05-21 13:01:00,1758768287,1344681583,50848,80,1432213260001124,40,0,24073,2,51,19902
2015-05-21 13:01:00,1790770605,150790029,59713,80,1432213260001131,1114,0,25835,2,56,35007
2015-05-21 13:01:00,1565286955,3225482891,9182,46972,1432213260001139,1457,0,27044,0,111,26196
2015-05-21 13:01:00,842607118,2233476903,19424,20,1432213260001152,52,0,40911,2,118,23654
2015-05-21 13:01:00,2280679048,1545329453,14144,55648,1432213260001158,48,0,20674,0,50,4666
2015-05-21 13:01:00,3937837416,150789643,80,36496,1432213260001159,40,0,57522,2,56,61174
2015-05-21 13:01:00,3445215432,3225472883,4999,6881,1432213260001174,1452,0,53774,2,121,64614
2015-05-21 13:01:00,2672535426,137682455,61625,443,1432213260001175,40,0,32162,2,120,22548
2015-05-21 13:01:00,557403745,1545329443,37881,51058,1432213260001190,58,0,22359,2,56,17539
2015-05-21 13:01:00,2010882219,1554569608,54880,80,1432213260001236,52,0,26172,2,53,37072
2015-05-21 13:01:00,2342757303,3617517253,57743,80,1432213260001242,52,0,64704,2,57,20292
2015-05-21 13:01:00,2010882219,1554569608,54880,80,1432213260001244,52,0,46895,2,53,16349
2015-05-21 13:01:00,3432756267,150790030,49446,443,1432213260001244,40,8,6045,2,115,34521
2015-05-21 13:01:00,1572182624,1505192080,35591,32854,1432213260001249,1103,0,48679,2,56,50713
2015-05-21 13:01:00,2443116138,2243093465,52446,9043,1432213260001255,140,0,569,2,58,17555
2015-05-21 13:01:00,1565286955,3225482891,9182,46972,1432213260001259,1457,0,27045,0,111,26195
2015-05-21 13:01:00,3408305402,150790009,48357,443,1432213260001264,52,0,58977,2,54,3532
2015-05-21 13:01:00,1657172584,3617517160,35207,443,1432213260001272,72,0,1188,2,58,41174
2015-05-21 13:01:00,1681023191,3617492223,64382,80,1432213260001275,52,8,56829,2,59,14359
2015-05-21 13:01:00,1691762315,1505192174,4369,443,1432213260001280,147,0,33385,2,57,22773
2015-05-21 13:01:00,3692839177,2243093270,443,48952,1432213260001282,1450,0,49514,2,86,55284
